I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	T/F 306
	Bayesian Classif.
	The formula for $P(X_k
	C_i)$ for categorical features in Naïve Bayes is found by dividing the number of data points in C
i
​
with value x
k
​
by the total number of data points in C
i
​
.
	True
	T/F 307
	k-NN
	Instance-based learning is effective because it forces the model to commit to a single hypothesis covering the entire instance space.
	False
	Eager learning commits to a single hypothesis; instance-based learning (lazy) uses a richer hypothesis space formed by many local approximations.
	T/F 308
	Regularization
	Lasso regression typically leads to smaller, non-zero coefficient values compared to Ridge regression.
	False
	Ridge (L2) tends to give small, non-zero values; Lasso (L1) tends toward exactly zero coefficients.
	T/F 309
	Logistic Regression
	The logistic function smoothly increases from 0 to 1, making it suitable for modeling class probabilities.
	True
	The sigmoid function g(z) plots smoothly from 0 to 1.
	T/F 310
	k-NN
	The distance-weighted k-NN approach assigns higher weight to neighbors that are farther away from the query point.
	False
	It downplays the labels of neighbors that are far away.
	Topic 6: Supervised Learning: Advanced & Evaluation (70 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 311
	Evaluation
	The Classifier Accuracy is defined as the percentage of test set instances that are correctly classified, calculated as (TP+TN)/All.
	True
	Accuracy is (TP+TN)/All.
	T/F 312
	Evaluation
	The Error Rate is calculated as the sum of True Positives and False Negatives, divided by all instances.
	False
	Error rate is 1−accuracy, or (FP+FN)/All.
	T/F 313
	Evaluation
	Sensitivity (True Positive recognition rate) is calculated as TN/N.
	False
	Sensitivity is TP/P. TN/N is Specificity.
	T/F 314
	Evaluation
	Precision measures completeness—the percentage of positive instances the classifier labeled as positive.
	False
	Precision measures exactness (what % labeled positive are actually positive). Recall (or Sensitivity) measures completeness.
	T/F 315
	Evaluation
	In classification evaluation, precision and recall typically have an inverse relationship.
	True
	There is an inverse relationship between precision & recall.
	T/F 316
	Evaluation
	The F-score is the arithmetic mean of precision and recall.
	False
	The F-score is the harmonic mean of precision and recall.
	T/F 317
	Evaluation
	In the Holdout method, the given data is partitioned into two independent sets: the training set and the validation set.
	False
	The partitions are the training set and the test set.
	T/F 318
	Evaluation
	Random subsampling is a variation of the holdout method where the process is repeated k times and the accuracy is averaged.
	True
	Random sampling repeats the holdout k times, and the accuracy is averaged.
	T/F 319
	Evaluation
	In k-fold cross-validation, the data is partitioned into k mutually exclusive subsets, and each subset is used once as the training set.
	False
	In k-fold cross-validation, the i-th subset D
i
​
is used as the test set and the others are used as the training set.
	T/F 320
	Evaluation
	Leave-one-out cross-validation is equivalent to k-fold cross-validation where k is the number of tuples in the dataset.
	True
	Leave-one-out sets k folds equal to the number of tuples.
	T/F 321
	Evaluation
	Stratified cross-validation ensures that the class distribution in each fold is approximately the same as the distribution in the initial data.
	True
	Folds are stratified so that class distribution is approximately the same.
	T/F 322
	Evaluation
	When comparing two classifiers, the null hypothesis states that the difference between the two error rates is statistically significant.
	False
	The null hypothesis typically states that the observed effect is random (e.g., "our two classifiers perform the same").
	T/F 323
	Evaluation
	A t-test is used to compare the mean error rates of two classifiers by assuming the samples follow a Gaussian distribution.
	False
	The t-test assumes samples follow a t-distribution (Student's t-distribution).
	T/F 324
	Evaluation
	If a t-test results in a p-value less than sig/2, the null hypothesis is rejected, concluding that the difference between classifiers is statistically significant.
	True
	If p-value < sig/2, the null hypothesis is rejected.
	T/F 325
	Evaluation
	Error bars often visualize the mean ± standard deviation, or confidence intervals, of a performance measure.
	True
	Error bars visualize mean ± error (SEM, STD, or Confidence intervals).
	T/F 326
	Evaluation
	If the error bars for the mean accuracies of two classifiers significantly overlap, this often points toward a problem in statistical significance.
	True
	When there is overlap, this may point to problems in significance (i.e., the difference is not significant).
	T/F 327
	Advanced Supervised
	The Perceptron algorithm uses a sigmoid activation function to perform linear regression.
	False
	The Perceptron performs linear regression if the activation function is f(x)=x.
	T/F 328
	Advanced Supervised
	If the perceptron uses the activation function f(x)=x, it performs linear regression.
	True
	When activation is f(x)=x, it performs linear regression.
	T/F 329
	Advanced Supervised
	The standard Perceptron, using a linear decision surface, is capable of classifying non-linearly separable data.
	False
	The Perceptron still defines a linear decision surface and can only separate linearly separable data.
	T/F 330
	Advanced Supervised
	The solution to handling non-linear data using neural networks is to add more units and layers, forming a Multi-layer Feed-Forward Neural Network.
	True
	Adding more Perceptron units and layers forms the Multi-layer Feed-Forward Neural Network, capable of handling non-linear functions.
	T/F 331
	Advanced Supervised
	In a feed-forward neural network, the weights may cycle back to an input unit or a unit in a previous layer.
	False
	The network is feed-forward, meaning none of the weights cycle back to an input unit or to an output unit of a previous layer.
	T/F 332
	Advanced Supervised
	Neural networks can approximate any function given enough hidden units and training data.
	True
	Given enough hidden units and training data, they can closely approximate any function.
	T/F 333
	Advanced Supervised
	Training a neural network via Backpropagation involves modifying weights in the "backwards" direction, from the output layer down to the input layer.
	True
	Modifications are made in the "backwards" direction: from the output layer down to the first hidden layer.
	T/F 334
	Advanced Supervised
	A major strength of neural networks is their high interpretability, as the symbolic meaning behind the learned weights is easy to understand.
	False
	A weakness of neural networks is their poor interpretability; it is difficult to interpret the symbolic meaning of weights/hidden units.
	T/F 335
	Advanced Supervised
	Support Vector Machines (SVMs) aim to find the linear decision boundary that minimizes the distance from the nearest data points (support vectors).
	False
	SVMs aim to find the line that maximizes the distance (margin) from the Support Vectors.
	T/F 336
	Advanced Supervised
	Maximizing the margin width in a linear SVM is equivalent to minimizing the magnitude of the weight vector, $
	

	w
	T/F 337
	Advanced Supervised
	The linear SVM optimization problem is a Quadratically Constrained Quadratic Program (QCQP) that can be solved optimally.
	True
	Training a linear SVM involves solving a QCQP, which can be solved optimally.
	T/F 338
	Advanced Supervised
	The decision boundary in a linear SVM is determined solely by the data points closest to the boundary, known as the support vectors.
	True
	The line can be determined solely by the support vectors.
	T/F 339
	Advanced Supervised
	The Kernel Trick allows SVMs to classify non-linearly separable data by implicitly mapping the data to a high-dimensional space where separation might be linear.
	True
	The Kernel Trick allows SVM to handle non-linearly separable data by implicitly transforming it to a higher dimension.
	T/F 340
	Advanced Supervised
	The complexity of a trained SVM classifier is characterized by the dimensionality of the data rather than the number of support vectors.
	False
	Complexity is characterized by the number of support vectors, independent of the data dimensionality.
	T/F 341
	Advanced Supervised
	SVM algorithms are generally learned in batch mode using quadratic programming techniques.
	True
	SVM is a deterministic algorithm, expensive to learn, and learned in batch mode using quadratic programming.
	T/F 342
	Advanced Supervised
	Neural networks are generally nondeterministic algorithms for learning.
	True
	Neural networks are typically non-deterministic algorithms.
	T/F 343
	Ensemble Methods
	An ensemble method relies on combining predictions from a collection of "weak learners" to create a stronger overall model.
	True
	Ensemble methods combine models to increase accuracy, using a collection of weak learners to make a strong learner.
	T/F 344
	Ensemble Methods
	Bootstrapping is a technique that involves sampling the training data with replacement to create multiple training sets of the same size as the original set.
	True
	Bootstrapping involves sampling the set D of d tuples with replacement to create training sets D
i
​
of size d.
	T/F 345
	Ensemble Methods
	Bagging (Bootstrap Aggregation) combines decisions by taking a simple arithmetic average of the predictions made by each classifier.
	False
	Bagging uses a majority vote based approach.
	T/F 346
	Ensemble Methods
	Random Forests introduce randomness only through the bootstrap sampling of the training data.
	False
	Random Forests also introduce randomness through a random selection of features considered for splitting at each node.
	T/F 347
	Ensemble Methods
	The out-of-bag error in Random Forest uses the training samples that were included in the bootstrap sample for evaluation.
	False
	Out-of-bag error uses only the trees that did not have x
i
​
in their bootstrap sample.
	T/F 348
	Class Imbalance
	Traditional classification methods are often poorly suited for class-imbalanced data because they assume a balanced distribution and equal error costs.
	True
	Traditional methods assume balanced distribution and equal error costs, making them unsuitable for imbalanced data.
	T/F 349
	Class Imbalance
	Oversampling involves randomly eliminating tuples from the negative class (majority class).
	False
	Oversampling involves re-sampling data from the positive (minority) class. Under-sampling eliminates tuples from the negative class.
	T/F 350
	Class Imbalance
	SMOTE (Synthetic Minority Oversampling Technique) works by generating synthetic data points along lines connecting nearest neighbors of minority class examples.
	True
	SMOTE generates synthetic data points along the lines connecting nearest neighbors of minority class examples.
	T/F 351
	Transfer Learning
	In Transfer Learning, a new classifier is built for a target task by applying knowledge learned from one or more source tasks.
	True
	Transfer learning extracts knowledge from source tasks and applies it to a target task.
	T/F 352
	Transfer Learning
	In deep transfer learning, an existing network trained on a large dataset (like ImageNet) can be repurposed by replacing the convolutional layers and retraining the fully connected layer.
	False
	The 'classifier' part (the last fully connected layers) is substituted/retrained, while the earlier layers (which learned features) are reused.
	T/F 353
	Explaining Black Box
	LIME (Local Interpretable Model-Agnostic Explanations) works by globally approximating the complicated model with a complex neural network.
	False
	LIME locally approximates the complicated model with a linear one, then uses the linear model to explain local decisions.
	T/F 354
	Deep Learning
	Convolutional Neural Networks (CNNs) reduce the number of parameters compared to fully connected layers because each pixel is written as a linear combination of its value and the convolution filter weights.
	True
	Conv filters reduce the number of parameters, leading to more efficient training than a gigantic fully-connected set of layers.
	T/F 355
	Deep Learning
	The ImageNet challenge was instrumental in the revolution of computer vision research.
	True
	ImageNet created a benchmark challenge that helped revolutionize computer vision research.
	T/F 356
	Evaluation
	The Bias-Variance Tradeoff suggests that if a model is complex, the bias tends to be high, and the variance tends to be low.
	False
	More complex models have lower bias, but the variance increases with complexity.
	T/F 357
	Evaluation
	In the Bias-Variance decomposition, the "unavoidable error" can typically be eliminated by increasing the amount of training data.
	False
	The error is decomposed into bias
2
, variance, and unavoidable error.
	T/F 358
	Evaluation
	When classifying instances with a Logistic Regression classifier, generating a Precision-Recall curve involves varying the classification probability threshold.
	True
	Generating the PR curve involves varying the threshold and recording precision and recall.
	T/F 359
	Evaluation
	If a classifier increases its prediction threshold from 0.5 to 0.7, this generally results in higher recall and lower precision.
	False
	A higher threshold means the model is more confident, resulting in higher precision and lower recall.
	T/F 360
	Evaluation
	When interpreting a Precision-Recall curve, a model that performs ideally would maintain high precision even as recall approaches 1.0.
	True
	The ideal curve shows high precision across all recall levels.
	T/F 361
	Evaluation
	The F
β
​
measure assigns β times as much weight to precision as to recall.
	False
	F
β
​
assigns β times as much weight to recall as to precision.
	T/F 362
	Advanced Supervised
	SVMs are generally more robust to noisy data than Neural Networks because they focus primarily on the support vectors.
	False
	The source states that Neural Networks have a high tolerance to noisy data.
	T/F 363
	Advanced Supervised
	Using kernels in SVM allows the model to learn very complex functions.
	True
	Using kernels allows SVMs to learn very complex functions.
	T/F 364
	Advanced Supervised
	SVM is often preferred over Neural Networks because it provides stronger generalization properties due to its mathematical foundation in maximizing the margin.
	True
	SVM has nice generalization properties.
	T/F 365
	Advanced Supervised
	The Perceptron algorithm uses the LMS update rule, which is also called the Widrow-Hoff learning rule.
	True
	The Perceptron training update is essentially the LMS rule (Widrow-Hoff learning rule).
	T/F 366
	Advanced Supervised
	Discriminative classifiers learn a boundary that separates positive and negative labels.
	True
	A discriminative classifier can be viewed as learning a boundary that separates "+" and "-" labels.
	T/F 367
	Advanced Supervised
	The Perceptron performs logistic regression when using the sigmoid function as the activation function.
	True
	The Perceptron performs logistic regression when the activation function is the logistic/sigmoid function.
	T/F 368
	Advanced Supervised
	The computational cost of finding the optimal separating hyperplane in linear SVM is generally solved using linear programming techniques.
	False
	It is solved using Quadratic Programming techniques (QCQP).
	T/F 369
	Evaluation
	In the Bias-Variance Tradeoff, when a model is underfitting, both bias and variance are typically high.
	False
	Underfitting is characterized by high bias and low variance.
	T/F 370
	Ensemble Methods
	Random Forest is known for being insensitive to the number of attributes selected for consideration at each split, and is generally faster than many other ensemble methods.
	True
	Random Forest is insensitive to the number of attributes chosen and generally faster than other methods.
	T/F 371
	Ensemble Methods
	Random Forest can be used for feature selection by measuring the difference in out-of-bag error when a feature's values are randomly permuted.
	True
	Measuring the difference in out-of-bag error between original and permuted data gives a notion of importance.
	T/F 372
	Class Imbalance
	One strategy for handling class imbalance is penalizing the algorithm more heavily when it makes a mistake on the majority class.
	False
	Penalization is used to penalize the algorithm more when it makes a mistake on the minority class.
	T/F 373
	Transfer Learning
	Traditional learning frameworks typically assume that the training data and test data are drawn from the same feature space and distribution, regardless of the task.
	True
	Traditional learning builds a new classifier for each new task, relying on consistent data/task spaces.
	T/F 374
	Deep Learning
	The key reasons for the recent resurgence of Neural Networks include the need for more complex algorithms and the decrease in data availability.
	False
	The comeback was fueled by the availability of a lot of data, computational power, and new algorithmic advances.
	T/F 375
	Evaluation
	Purity and Normalized Mutual Information (NMI) are examples of intrinsic evaluation methods for clustering.
	False
	Purity and NMI are extrinsic (supervised) methods, comparing clustering against ground truth.
	T/F 376
	Evaluation
	If a classifier uses a threshold of 0.5, it predicts class 1 if the probability p(x)≥0.5 and class 0 otherwise.
	True
	This is the normal operating procedure for logistic regression classifiers.
	T/F 377
	Advanced Supervised
	The RBF (Radial Basis Function) is an example of a popular kernel function used in SVMs.
	True
	RBF is listed as a common kernel.
	T/F 378
	Advanced Supervised
	SVM with a small number of support vectors can have poor generalization when the data dimensionality is high.
	False
	SVM with a small number of support vectors can have good generalization, even in high dimensions.
	T/F 379
	Evaluation
	When performing leave-one-out cross-validation, the variance of the error estimate tends to be high compared to 10-fold cross-validation.
	True
	(Information from outside the source, but implicit in the model selection context.)
	T/F 380
	Advanced Supervised
	The derivation of the gradient for logistic regression simplifies nicely because the derivative of the sigmoid function, g
′
(z), equals g(z)(1−g(z)).
	True
	This property is explicitly shown to simplify the derivative.
	Topic 7: Unsupervised Learning I (Clustering Methods) (75 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 381
	Clustering Intro
	Clustering is a process that groups similar data objects together such that they are dissimilar to objects in other groups.
	True
	A cluster is a collection of objects similar within the group and dissimilar to objects in other groups.
	T/F 382
	Clustering Intro
	High intra-class similarity means clusters are cohesive, while low inter-class similarity means they are distinctive.
	True
	Good clustering requires maximizing intra-class similarity (cohesive) and minimizing inter-class similarity (distinctive).
	T/F 383
	Clustering Intro
	Clustering is generally only useful as a stand-alone tool for data distribution insight, not as a preprocessing step.
	False
	Clustering is useful both as a stand-alone tool and as a preprocessing step for other algorithms like regression or classification.
	T/F 384
	Clustering Intro
	In the context of data mining, compression can be achieved by using cluster centroids instead of all the original data points.
	True
	Using cluster centroids instead of all data is an example of compression.
	T/F 385
	Clustering Intro
	The partitioning approach to clustering constructs a hierarchical decomposition of the data based on some criterion.
	False
	The partitioning approach constructs various partitions evaluated by a criterion (e.g., k-means). Hierarchical approaches create a hierarchical decomposition.
	T/F 386
	K-Means
	The K-means algorithm minimizes the Sum of Squared Errors (SSE), defined as the sum of squared Euclidean distances between each point and its assigned centroid.
	True
	K-means minimizes the sum of squared distances, E=∑∑
p∈C
i
​
​
(p−c
i
​
)
2
, where c
i
​
is the centroid.
	T/F 387
	K-Means
	The optimal solution for partitioning n objects into k clusters can be found efficiently using Lloyd's algorithm in polynomial time with respect to n.
	False
	Finding the optimal solution is NP-Hard; K-means is a heuristic method.
	T/F 388
	K-Means
	The complexity of the K-means (Lloyd's algorithm) is O(tkn), where t is the number of iterations, k is the number of clusters, and n is the number of objects.
	True
	The efficiency is O(tkn), and normally k,t≪n.
	T/F 389
	K-Means
	K-means is guaranteed to terminate at the global optimum of the SSE function.
	False
	K-means often terminates at a local optimum.
	T/F 390
	K-Means
	If K-means is poorly initialized, it may result in empty clusters (centroids with no points assigned).
	True
	Empty clusters can occur due to a bad choice of K or a poor initialization.
	T/F 391
	K-Means
	K-means++ is an initialization method designed to choose initial centroids that are close to each other.
	False
	K-means++ chooses the second centroid with probability proportional to D(x
j
​
,c
1
​
)
2
, which gives a point far enough from c
1
​
.
	T/F 392
	K-Means
	K-means is highly robust to noisy data and outliers because it uses the mean to calculate centroids.
	False
	K-means is sensitive to noisy data and outliers because the mean can be substantially distorted by extreme values.
	T/F 393
	K-Medoids
	In K-medoids, the cluster center is represented by an artificial point that minimizes the squared Euclidean distance to all points in the cluster.
	False
	K-medoids uses a medoid, which is an actual data object in the cluster, whose average dissimilarity to all objects is minimal.
	T/F 394
	K-Medoids
	The PAM (Partitioning Around Medoids) algorithm scales well for very large datasets due to its iterative optimization.
	False
	PAM does not scale well for large datasets because it checks all substitutions of medoids with non-medoids at every iteration.
	T/F 395
	Hierarchical
	Hierarchical clustering requires the user to specify the number of clusters (k) in advance.
	False
	Hierarchical clustering does not require k as an input, but it requires a termination condition.
	T/F 396
	Hierarchical
	Agglomerative hierarchical clustering follows a top-down (divisive) approach.
	False
	Agglomerative clustering (AGNES) is a bottom-up approach.
	T/F 397
	Hierarchical
	In hierarchical clustering, a dendrogram represents the nested partitioning of data objects.
	True
	Hierarchical clustering results in a dendrogram, which is a tree of clusters.
	T/F 398
	Hierarchical
	Cutting the dendrogram at the desired level results in a set of partitions, where each connected component forms a cluster.
	True
	A clustering is obtained by cutting the dendrogram at the desired level.
	T/F 399
	Hierarchical
	Single linkage computes the distance between two clusters based on the largest distance between any element in one cluster and any element in the other.
	False
	Single link uses the smallest distance between elements. The largest distance is used by Complete link.
	T/F 400
	Hierarchical
	Single linkage clustering tends to find clusters based on local proximities, whereas complete linkage relies on global proximities.
	True
	Single linkage finds local proximities; Complete linkage finds global proximities.
	T/F 401
	Hierarchical
	AGNES (Agglomerative Nesting) starts with all objects in one cluster and recursively splits them.
	False
	AGNES starts with all points in different clusters and merges nodes (bottom-up).
	T/F 402
	Hierarchical
	DIANA (Divisive Analysis) starts with all objects belonging to the same cluster and recursively splits them until a termination condition is met.
	True
	DIANA starts with all objects in the same cluster and splits them (top-down).
	T/F 403
	Hierarchical
	Solving DIANA optimally involves considering 2
n
−1 ways of partitioning n objects, which is computationally inexpensive.
	False
	Considering 2
n
−1 ways is very expensive; DIANA uses greedy heuristics to reduce complexity.
	T/F 404
	Hierarchical
	The single-linkage hierarchical clustering problem is mathematically equivalent to finding the Minimum Spanning Tree (MST) in a connected, weighted, and undirected graph.
	True
	Single-linkage and MST problems are equivalent.
	T/F 405
	K-Means
	The K-means algorithm uses "greedy optimization," similar to Kruskal's algorithm for MST.
	False
	K-means uses "alternating optimization" or "block coordinate descent". Kruskal's is greedy optimization.
	T/F 406
	K-Means
	The use of gradient descent is generally beneficial for solving K-means, allowing it to always converge to the optimal solution.
	False
	K-means (Lloyd's algorithm) uses alternating optimization, not typical gradient descent, and is not guaranteed to find the optimal solution.
	T/F 407
	K-Means
	If random initialization of centroids for K-means is poor, this may result in empty clusters.
	True
	Empty clusters can result from a poor initialization.
	T/F 408
	K-Means
	K-means clustering can be viewed as a form of compression of N data points to K centroids, minimizing the approximation error.
	True
	K-means minimizes approximation error of representing every data point by its nearest centroid.
	T/F 409
	K-Means
	For K-means clustering, the error will always be exactly 0 if we set the number of clusters K equal to log(N), where N is the number of data points.
	False
	The error is only guaranteed to be 0 if K=N (each point is its own centroid).
	T/F 410
	K-Means
	In practice, to achieve better performance in clustering accuracy for K-means, it is recommended to use the same initialization every time rather than initializing randomly.
	False
	Random initialization is used to explore different local optima; for better performance, one should not use the same initialization every time (e.g., using K-means++ or multiple random restarts).
	T/F 411
	Hierarchical
	The DIANA (Divisive Analysis) hierarchical clustering algorithm traces exactly the same clusters as a bottom-up (agglomerative) approach would do.
	False
	DIANA and AGNES perform hierarchical decomposition, but DIANA is divisive (top-down) and AGNES is agglomerative (bottom-up). They may not trace the same clusters, especially since DIANA uses greedy heuristics.
	T/F 412
	K-Means
	Solving K-means clustering optimally is an NP-Hard problem.
	True
	The optimal solution for partitioning is NP-Hard.
	T/F 413
	K-Means
	If there are 3 actual clusters in the data and we choose K=10 for K-means, the algorithm will automatically return exactly 3 non-empty clusters.
	False
	K-means will attempt to find 10 clusters, and may result in more than 3 non-empty clusters or potentially empty clusters.
	T/F 414
	Clustering Intro
	A key challenge in cluster analysis is scalability, requiring algorithms to work only on small samples of data instead of the entire dataset.
	False
	Scalability requires clustering all the data instead of only samples.
	T/F 415
	K-Medoids
	K-Medoids minimizes the Manhattan distance, whereas K-Means minimizes the Euclidean distance.
	True
	The medoid minimizes the Manhattan distance (in 1D/median context, generalized to K-medoids). K-Means minimizes Euclidean distance.
	T/F 416
	Hierarchical
	The centroid linkage method calculates the distance between two clusters by measuring the distance between their medoids.
	False
	Centroid linkage uses the distance between the centroids (means). Medoid linkage uses the distance between the medoids.
	T/F 417
	Hierarchical
	The agglomerative clustering approach (AGNES) uses single-link distance by default, meaning it merges clusters with the least dissimilarity.
	True
	AGNES uses the single-link approach, merging nodes with the least dissimilarity (minimum distance).
	T/F 418
	Hierarchical
	In DIANA, complexity is reduced by using a greedy heuristic that picks the object with maximum dissimilarity from the rest and moving it to a new cluster.
	True
	DIANA uses greedy heuristics, including picking the max dissimilarity object to start a new cluster.
	T/F 419
	Clustering Intro
	An important partitioning criterion in clustering is the similarity measure used, which can be distance-based (e.g., Euclidean) or connectivity-based (e.g., density).
	True
	Similarity measures can be distance-based or connectivity-based.
	T/F 420
	K-Means
	When performing K-means, the SSE necessarily decreases or stays the same with every iteration.
	True
	K-means uses an alternating optimization approach where each step (assignment or centroid recalculation) reduces or maintains the SSE until convergence to a local minimum.
	T/F 421
	K-Means
	Because K-means utilizes random initialization, multiple runs are necessary to obtain a good estimate of the SSE and Silhouette score.
	True
	Because K-means uses randomized initialization, multiple iterations per K value are needed to get a good estimate.
	T/F 422
	K-Medoids
	The medoid of a cluster is defined as the object whose minimum dissimilarity to all objects in the cluster is minimal.
	False
	The medoid is the data object whose average dissimilarity to all objects in the cluster is minimal.
	T/F 423
	Clustering Intro
	Outlier detection is a possible application for clustering, where outliers are often viewed as points far away from any cluster.
	True
	Outlier detection is listed as a clustering application.
	T/F 424
	Clustering Intro
	Soft clustering requires that every data object is exclusively assigned to exactly one cluster.
	False
	Hard clustering requires exclusive assignment. Soft clustering allows for soft or fuzzy boundaries.
	T/F 425
	K-Means
	The efficiency of K-means is primarily dependent on the number of features (dimensions) rather than the number of data points.
	False
	Efficiency is O(tkn), dependent on iterations (t), clusters (k), and objects (n).
	T/F 426
	Hierarchical
	Divisive hierarchical clustering is typically implemented by finding the single best split of a cluster into two parts to reduce computational complexity.
	False
	Finding the best split of a cluster into two is computationally expensive. Divisive methods (like DIANA) use greedy splits satisfying a threshold instead.
	T/F 427
	K-Means
	If K-means is run on data containing a substantial outlier, the final SSE value is expected to be significantly larger compared to running K-means on the original data without the outlier.
	True
	K-means is sensitive to outliers, and the outlier will increase the SSE dramatically.
	T/F 428
	Clustering Intro
	Dendrograms are graphs used to represent the results of partition-based clustering algorithms like K-means.
	False
	Dendrograms represent the results of Hierarchical clustering.
	T/F 429
	Hierarchical
	Greedy algorithms, such as Kruskal's algorithm for Minimum Spanning Tree, are guaranteed to provide a globally optimal solution in some cases.
	True
	In some cases (like MST using Kruskal's), greedy optimization yields a global optimum.
	T/F 430
	K-Means
	K-means should only be used if the data distribution is known to be Gaussian.
	False
	K-means is a heuristic method applicable to continuous n-dimensional space.
	T/F 431
	Clustering Intro
	The quality of a clustering method relies solely on the similarity measure used and is independent of the resulting cluster patterns.
	False
	Quality depends on the similarity measure AND the method's ability to discover hidden patterns.
	T/F 432
	Hierarchical
	The concept of single-linkage clustering relies on minimizing the maximum pairwise distance between two clusters.
	False
	Single-linkage minimizes the minimum pairwise distance (local patterns).
	T/F 433
	K-Means
	Lloyd's algorithm for K-means is a form of block coordinate descent.
	True
	K-means (Lloyd's algorithm) uses "alternating optimization" or "block coordinate descent".
	T/F 434
	K-Means
	In K-means, the term 'error' for a data point is defined as the absolute distance from that point to its nearest centroid.
	False
	Error per point is the Euclidean distance, and SSE sums the squared Euclidean distances.
	T/F 435
	K-Means
	The K-means algorithm requires all features to be transformed to categorical variables before clustering can begin.
	False
	K-means operates on objects in a continuous n-dimensional space (numerical data).
	Topic 8: Unsupervised Learning: Density & Evaluation (50 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 436
	DBSCAN
	Density-Based Clustering methods like DBSCAN are motivated by the need to discover clusters of arbitrary shapes and handle noise.
	True
	Density-based clustering (DBSCAN) aims to discover arbitrary shapes and handle noise.
	T/F 437
	DBSCAN
	DBSCAN requires only one parameter: the maximum radius of the neighborhood (Eps).
	False
	DBSCAN requires two parameters: Eps (maximum radius) and MinPts (minimum number of points in Eps-neighborhood).
	T/F 438
	DBSCAN
	A point q is a "core point" in DBSCAN if its Eps-neighborhood contains at least MinPts number of points.
	True
	The core point condition is $
	T/F 439
	DBSCAN
	Point p is directly density-reachable from point q only if p belongs to N
Eps
​
(q), regardless of whether q is a core point.
	False
	q must satisfy the core point condition: $
	T/F 440
	DBSCAN
	The notion of "density-reachable" is symmetric in DBSCAN.
	False
	"Density-reachable" is not symmetric, as the starting point must be a core point.
	T/F 441
	DBSCAN
	DBSCAN defines a cluster as a maximal set of density-connected points.
	True
	A cluster is defined as a maximal set of density-connected points.
	T/F 442
	DBSCAN
	Points labeled as "noise" by DBSCAN are potential outliers.
	True
	All points marked as "noise" are potential outliers.
	T/F 443
	DBSCAN
	DBSCAN does not require the number of clusters as a parameter, unlike K-means.
	True
	DBSCAN does not require the number of clusters as a parameter.
	T/F 444
	DBSCAN
	The naïve implementation of DBSCAN has a time complexity of O(n
2
), where n is the number of data points.
	True
	Naïve implementation complexity is O(n
2
).
	T/F 445
	DBSCAN
	The result of DBSCAN is entirely deterministic, regardless of the order in which points are processed.
	False
	The result is not entirely deterministic, as border points may end up in different clusters depending on the processing order.
	T/F 446
	DBSCAN
	If a spatial index like an R*-Tree is used, the time complexity of DBSCAN can be improved by achieving logarithmic retrieval of neighborhood points.
	True
	Using a spatial index can lead to logarithmic retrieval of neighborhood points.
	T/F 447
	DBSCAN
	A point p is a "border point" if it is density-reachable from a core point but is not a core point itself.
	True
	Border points are density-reachable but do not satisfy the core point condition.
	T/F 448
	LOF
	The Local Outlier Factor (LOF) algorithm balances local density against how far away a point is from a dense neighborhood.
	True
	LOF involves a trade off between local density and how far away a point is from a dense neighborhood.
	T/F 449
	Evaluation
	Intrinsic clustering evaluation methods use ground truth labels to assess the quality of the clusters.
	False
	Intrinsic methods (unsupervised) are used when ground truth is unavailable. Extrinsic methods (supervised) use ground truth.
	T/F 450
	Evaluation
	The Silhouette Coefficient is an intrinsic measure that quantifies the similarity of an object to its own cluster (cohesion) versus other clusters (separation).
	True
	The Silhouette Coefficient measures cohesion versus separation and is an intrinsic measure.
	T/F 451
	Evaluation
	The Hopkins Statistic is used to assess if a dataset has non-random structure by measuring how far the data is from being uniformly distributed.
	True
	Hopkins Statistic assesses spatial randomness by measuring how far away the data is from being uniformly distributed.
	T/F 452
	Evaluation
	If the Hopkins Statistic H is close to 1, it suggests the data is highly clustered.
	True
	If data is highly clustered, H is close to 1.
	T/F 453
	Evaluation
	The "elbow finding" technique uses the average Silhouette coefficient plotted against K to suggest the optimal number of clusters.
	False
	The "elbow finding" technique uses the SSE plotted against K to find the point of diminishing returns, which is a suggestion for K.
	T/F 454
	Evaluation
	Cluster homogeneity requires that items belonging to the same category should be grouped in the same cluster.
	False
	Homogeneity requires that clusters should not mix items belonging to different categories (purer, the better).
	T/F 455
	Evaluation
	Cluster completeness requires that objects belonging to the same category should be assigned to the same cluster.
	True
	Completeness requires assigning objects of the same category to the same cluster.
	T/F 456
	Evaluation
	The "Rag bag" constraint suggests that mixing a heterogeneous object into a clean cluster should be penalized less than mixing it into a highly noisy cluster.
	False
	Mixing a heterogeneous object into a pure cluster should be penalized more than putting it into a rag bag.
	T/F 457
	Evaluation
	Normalized Mutual Information (NMI) measures the overlap between two clusterings (our result and ground truth) using an information-theoretic approach.
	True
	NMI measures the overlap using an information theoretic way.
	T/F 458
	Evaluation
	The Silhouette coefficient compares the nearest neighbor distances of data points in a cluster with the nearest neighbor distances of random points.
